U1,N1,N2,N_1_1_1,N_1_1_2,N_1_2_1,N_1_2_2,N_1_3_1,N_1_3_2,N_1_4_1,N_1_4_2,N_2_1_1,N_2_1_2,N_2_2_1,N_2_2_2,N_2_3_1,N_2_3_2,N_2_4_1,N_2_4_2
7, 10, 16, 24, 28, 22, 42, 22, 42, 24, 28, 24, 28, 22, 42, 22, 42, 24, 28
8, 8, 16, 26, 40, 24, 34, 26, 32, 24, 42, 26, 40, 24, 34, 26, 32, 24, 42
7, 10, 30, 32, 42, 26, 44, 24, 42, 26, 44, 32, 42, 26, 44, 24, 42, 26, 44
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
5, 10, 56, 42, 126, 42, 58, 34, 58, 42, 126, 42, 126, 42, 58, 34, 58, 42, 126
5, 12, 28, 32, 60, 24, 28, 32, 28, 24, 60, 32, 60, 24, 28, 32, 28, 24, 60
6, 24, 10, 60, 24, 26, 22, 26, 22, 60, 24, 60, 24, 26, 22, 26, 22, 60, 24
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
7, 22, 10, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
8, 30, 8, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24
7, 32, 8, 72, 26, 34, 24, 32, 26, 74, 24, 72, 26, 34, 24, 32, 26, 74, 24
